"","treatment","covariate","observation"
"1","treatment 1",1.26174352498431,2.49792657326864
"2","treatment 2",4.66258985538051,3.97367220475055
"3","treatment 1",0.775877139617831,3.39004247254859
"4","treatment 2",5.20783620949234,4.63594667862162
"5","treatment 1",3.06690201031622,3.32561354570702
"6","treatment 2",3.37383840322795,4.25836280718983
"7","treatment 1",1.93853837651625,2.95606849360026
"8","treatment 2",4.36405045097629,4.29582258246001
"9","treatment 1",1.94508791168477,2.14865253510513
"10","treatment 2",1.51392543439456,2.71641194038925
"11","treatment 1",5.42583738786057,3.11787223882544
"12","treatment 2",3.56841218922355,4.65123648533068
"13","treatment 1",4.69868569658325,2.66267125570005
"14","treatment 2",0.682857534051624,2.70243381619316
"15","treatment 1",2.72734687365971,3.84330495531043
"16","treatment 2",4.01835801842522,4.0461942186991
"17","treatment 1",1.29063788852836,3.87181192131892
"18","treatment 2",6.40174599655182,4.80649262274918
"19","treatment 1",5.1037658657971,2.63606596111029
"20","treatment 2",2.14864475980594,2.58714519835747
"21","treatment 1",-0.179494603025794,3.42489371611788
"22","treatment 2",6.61653096941936,3.63810459022648
"23","treatment 1",2.26239844585692,2.83728051248646
"24","treatment 2",1.8621454067573,4.28484012752076
"25","treatment 1",2.83403249836851,1.67832803840164
"26","treatment 2",1.6083361651519,3.97348132447145
"27","treatment 1",4.07702867118834,4.4016493292051
"28","treatment 2",1.04374484976958,3.44812542218823
"29","treatment 1",4.58509770221569,2.0621976488764
"30","treatment 2",2.98059509143962,3.11499478023861
"31","treatment 1",6.41395532758266,3.39999355737016
"32","treatment 2",0.543974132602902,3.7022712820565
"33","treatment 1",4.61259905208572,3.14193049809757
"34","treatment 2",4.64787687229227,3.54949666391297
"35","treatment 1",2.54155971428861,3.15959823747534
"36","treatment 2",2.74895237424793,4.13015574585502
"37","treatment 1",0.52171824241216,1.40577552133399
"38","treatment 2",1.71322217768833,2.99345201496127
"39","treatment 1",5.98149066670144,3.59040723976685
"40","treatment 2",1.06986679593146,4.41654465015376
"41","treatment 1",2.66653564893345,2.82105549795693
"42","treatment 2",6.53227329970881,3.89314038683919
"43","treatment 1",4.30632079628626,2.64112858686713
"44","treatment 2",0.150632498896201,4.20501576957685
"45","treatment 1",2.0172302935073,3.56778321204058
"46","treatment 2",2.00286493421168,2.72160897703465
"47","treatment 1",3.38154010313055,3.36363034519934
"48","treatment 2",4.60784651349706,3.58489891520542
"49","treatment 1",-0.030294757376085,2.6026136374248
"50","treatment 2",3.97563868513445,3.44930499628116
"51","treatment 1",0.167212862119371,3.01924300785028
"52","treatment 2",3.67127841261214,3.3013628464616
"53","treatment 1",2.27020223122217,3.44982136384656
"54","treatment 2",1.15153644793563,3.67262924837683
"55","treatment 1",-0.0500846889696964,2.47912804416649
"56","treatment 2",5.33248215942289,4.41118133594824
"57","treatment 1",3.44535561354841,4.05184966029843
"58","treatment 2",2.37848891420386,3.81839416412736
"59","treatment 1",0.24852339547266,1.98478192754443
"60","treatment 2",4.78890119444874,4.5038268594038
"61","treatment 1",3.46696744757626,3.48309482918896
"62","treatment 2",1.62390341798594,3.68334159161361
"63","treatment 1",5.08473318959834,2.81848742713807
"64","treatment 2",3.53685539978373,4.71723019546817
"65","treatment 1",1.84676663854955,2.89629562695989
"66","treatment 2",6.45781501720445,3.32491134558686
"67","treatment 1",5.18615441758548,1.73148861136687
"68","treatment 2",1.05221532598902,2.68824470248116
"69","treatment 1",2.69794380076644,3.45771974964452
"70","treatment 2",3.99821676673435,3.72905107377611
"71","treatment 1",1.77695111172564,3.23702814638799
"72","treatment 2",4.74269777786492,4.88291531932443
"73","treatment 1",1.75223692693606,3.67824166634763
"74","treatment 2",0.814728059988493,3.95053917857487
"75","treatment 1",1.73051971711671,3.72524799161763
"76","treatment 2",4.87131897403687,4.05230005880883
"77","treatment 1",7.21357597705362,3.54918371985194
"78","treatment 2",1.9300027149136,3.65945140389687
"79","treatment 1",0.455440285265385,3.02180771539981
"80","treatment 2",2.18227389732204,4.48831413597228
